Observation_id_boris,Observation.id,Subject,Behavior,Modifier_general,Modifier_specific,Behavior_type,Start_sec,Stop_sec,Duration_sec
2017-06-26_REC_r5_PN17REC1_A_proofed,2017-06-26_REC_r5_PN17REC1_A,RYSG,head out,,,POINT,919.906,919.906,NA
2017-06-26_REC_r5_PN17REC1_A_proofed,2017-06-26_REC_r5_PN17REC1_A,RYSG,stat,,,STATE,855.1,875.362,20.262
2017-06-26_REC_r5_PN17REC1_A_proofed,2017-06-26_REC_r5_PN17REC1_A,RYSG,stat,,,STATE,1595.368,1602.131,6.763
2017-06-26_REC_r5_PN17REC1_A_proofed,2017-06-26_REC_r5_PN17REC1_A,RYSG,stat,,,STATE,2355.125,2377.627,22.502
2017-06-26_REC_r5_PN17REC1_A_proofed,2017-06-26_REC_r5_PN17REC1_A,RYSG,feeding chicks,insect,grasshopper,POINT,2772.685,2772.685,NA
2017-06-26_REC_r5_PN17REC1_A_proofed,2017-06-26_REC_r5_PN17REC1_A,RYSG,feeding chicks,insect,lepidoptera,POINT,2190.713,2190.713,NA
2017-06-26_REC_r5_PN17REC1_A_proofed,2017-06-26_REC_r5_PN17REC1_A,RYSG,feeding chicks,insect,unidentifiable,POINT,855.055,855.055,NA
2017-06-26_REC_r5_PN17REC1_A_proofed,2017-06-26_REC_r5_PN17REC1_A,RYSG,feeding chicks,insect,unidentifiable,POINT,1592.391,1592.391,NA
2017-06-26_REC_r5_PN17REC1_A_proofed,2017-06-26_REC_r5_PN17REC1_A,RYSG,feeding chicks,insect,unidentifiable,POINT,1983.782,1983.782,NA
2017-06-26_REC_r5_PN17REC1_A_proofed,2017-06-26_REC_r5_PN17REC1_A,RYSG,feeding chicks,insect,unidentifiable,POINT,2243.464,2243.464,NA
2017-06-26_REC_r5_PN17REC1_A_proofed,2017-06-26_REC_r5_PN17REC1_A,RYSG,feeding chicks,insect,unidentifiable,POINT,2747.946,2747.946,NA
2017-06-26_REC_r5_PN17REC1_A_proofed,2017-06-26_REC_r5_PN17REC1_A,RYSG,feeding chicks,unidentified,unidentifiable,POINT,210.211,210.211,NA
2017-06-26_REC_r5_PN17REC1_A_proofed,2017-06-26_REC_r5_PN17REC1_A,RYSG,feeding chicks,unidentified,unidentifiable,POINT,904.181,904.181,NA
2017-06-26_REC_r5_PN17REC1_A_proofed,2017-06-26_REC_r5_PN17REC1_A,RYSG,feeding chicks,unidentified,unidentifiable,POINT,1368.768,1368.768,NA
2017-06-26_REC_r5_PN17REC1_A_proofed,2017-06-26_REC_r5_PN17REC1_A,RYSG,feeding chicks,unidentified,unidentifiable,POINT,2822.188,2822.188,NA
2017-06-26_REC_r5_PN17REC1_A_proofed,2017-06-26_REC_r5_PN17REC1_A,RYSG,feeding chicks,unidentified,unidentifiable,POINT,3322.075,3322.075,NA
2017-06-26_REC_r5_PN17REC1_A_proofed,2017-06-26_REC_r5_PN17REC1_A,RYSG,cleaning nest,,,POINT,943.481,943.481,NA
2017-06-26_REC_r5_PN17REC1_A_proofed,2017-06-26_REC_r5_PN17REC1_A,RYSG,cleaning nest,,,POINT,1397.657,1397.657,NA
2017-06-26_REC_r5_PN17REC1_A_proofed,2017-06-26_REC_r5_PN17REC1_A,RYSG,cleaning nest,,,POINT,2265.364,2265.364,NA
2017-06-26_REC_r5_PN17REC1_A_proofed,2017-06-26_REC_r5_PN17REC1_A,RYSG,cleaning nest,,,POINT,2862.26,2862.26,NA
2017-06-26_REC_r5_PN17REC1_A_proofed,2017-06-26_REC_r5_PN17REC1_A,RYSG,in cavity,None,,STATE,918.381,943.029,24.648
2017-06-26_REC_r5_PN17REC1_A_proofed,2017-06-26_REC_r5_PN17REC1_A,RYSG,in cavity,None,,STATE,1377.277,1397.658,20.381
2017-06-26_REC_r5_PN17REC1_A_proofed,2017-06-26_REC_r5_PN17REC1_A,RYSG,in cavity,None,,STATE,1998.097,2031.388,33.291
2017-06-26_REC_r5_PN17REC1_A_proofed,2017-06-26_REC_r5_PN17REC1_A,RYSG,in cavity,None,,STATE,2250.07,2265.365,15.295
2017-06-26_REC_r5_PN17REC1_A_proofed,2017-06-26_REC_r5_PN17REC1_A,RYSG,in cavity,None,,STATE,2783.654,2809.607,25.953
