"","Jdayyr","Video_number","vID","Observation.id","Sample","Observation_id","Sex","Nest_ID","Brood_ID","Month","Julian_date","Year","TA","Habitat","First_egg_Julian","Hatch_Julian","Fledge_Julian","Exact_age_chick","Peeped_chick_count","Max_number_eggs","Max_number_chicks","Proportion_hatched","Chicks_fledged","Proportion_fledged","Nest_fate","Nest_fate_certainty","Oldest_nestling","Number_chick_mortalities","Percent_chick_mortalities","Chicks_visible.","With_bpk.","Start_time","Early_or_late","Nearest_neighbor","Distance_nearest_neighbor_m","Length_usable","Subject","feeding","cleaning","Length_total","brooding_sec","Std_jdate","brooding_min","Usable_video","TMAX"
"1","157.2018",120,"120.POPS","2018-06-06_18C_r5_2c_Timber_A","2018-06-06_18C_r5_2c_Timber_A.POPS","2018-06-06_18C_r5_2c_Timber.A","male","18C Timber","Timber_brd1","June",157,2018,"18C","CC",NA,156,183,1,2,6,2,0.3333333333,2,1,"Fledge","Uncertain",27,0,0,0,0,845,"early","PNB 18CB",291.4,61,"POPS",6,5,226,2761.504,-2.08459489464455,46.0250666666667,226,23.9
"2","157.2018",120,"120.WSPR","2018-06-06_18C_r5_2c_Timber_A","2018-06-06_18C_r5_2c_Timber_A.WSPR","2018-06-06_18C_r5_2c_Timber.A","female","18C Timber","Timber_brd1","June",157,2018,"18C","CC",NA,156,183,1,2,6,2,0.3333333333,2,1,"Fledge","Uncertain",27,0,0,0,0,845,"early","PNB 18CB",291.4,61,"WSPR",16,1,226,5093.95,-2.08459489464455,84.8991666666667,226,23.9
"3","158.2018",121,"121.ROSO","2018-06-07_18C_r5_Tonto_A","2018-06-07_18C_r5_Tonto_A.ROSO","2018-06-07_18C_r5_Tonto.A","male","PNB 18CB","Tonto18_brd1","June",158,2018,"18C","CC",135,151,183,7,3,5,3,0.6,3,1,"Fledge","Certain",36,0,0,0,0,1008,"early","18C Noisy",194.3,64,"ROSO",9,2,181,2442.875,-2.01265718739071,40.7145833333333,181,27.2
"4","158.2018",121,"121.SGBY","2018-06-07_18C_r5_Tonto_A","2018-06-07_18C_r5_Tonto_A.SGBY","2018-06-07_18C_r5_Tonto.A","female","PNB 18CB","Tonto18_brd1","June",158,2018,"18C","CC",135,151,183,7,3,5,3,0.6,3,1,"Fledge","Certain",36,0,0,0,0,1008,"early","18C Noisy",194.3,64,"SGBY",18,5,181,1652.04,-2.01265718739071,27.534,181,27.2
"5","164.2018",106,"106.SBGO","2018-06-13_18C4_A","2018-06-13_18C4_A.SBGO","2018-06-13_18C4.A","male","NB 18C4","NB18C4_18_brd1","June",164,2018,"18C","Savanna",135,151,181,13,2,5,3,0.6,2,0.6666666667,"Fledge","Uncertain",28,1,0.3333333333,0,0,1045,"early","N18 18C 3",83.1,64,"SBGO",11,1,123,0,-1.58103094386768,0,123,30
"6","164.2018",106,"106.SBGO_mate_18","2018-06-13_18C4_A","2018-06-13_18C4_A.SBGO_mate_18","2018-06-13_18C4.A","female","NB 18C4","NB18C4_18_brd1","June",164,2018,"18C","Savanna",135,151,181,13,2,5,3,0.6,2,0.6666666667,"Fledge","Uncertain",28,1,0.3333333333,0,0,1045,"early","N18 18C 3",83.1,64,"SBGO_mate_18",0,0,123,0,-1.58103094386768,0,123,30
"7","166.2018",125,"125.ROSO","2018-06-15_18CTonto_A","2018-06-15_18CTonto_A.ROSO","2018-06-15_18CTonto.A","male","PNB 18CB","Tonto18_brd1","June",166,2018,"18C","CC",135,151,183,15,3,5,3,0.6,3,1,"Fledge","Certain",36,0,0,0,1,800,"early","18C Noisy",194.3,59,"ROSO",24,6,147,0,-1.43715552936001,0,141,28.3
"8","166.2018",125,"125.SGBY","2018-06-15_18CTonto_A","2018-06-15_18CTonto_A.SGBY","2018-06-15_18CTonto.A","female","PNB 18CB","Tonto18_brd1","June",166,2018,"18C","CC",135,151,183,15,3,5,3,0.6,3,1,"Fledge","Certain",36,0,0,0,1,800,"early","18C Noisy",194.3,59,"SGBY",0,0,147,0,-1.43715552936001,0,141,28.3
"9","169.2018",126,"126.OSOP","2018-06-18_5ACross_B","2018-06-18_5ACross_B.OSOP","2018-06-18_5ACross.B","female","5A Cross","Cross","June",169,2018,"05A","Savanna",151,165,196,4,3,4,3,0.75,2,0.6666666667,"Fledge","Uncertain",32,1,0.3333333333,0,0,1104,"late","5A Match",228.3,64,"OSOP",10,0,188,1020.677,-1.22134240759849,17.0112833333333,188,33.9
"10","169.2018",126,"126.WOWS","2018-06-18_5ACross_B","2018-06-18_5ACross_B.WOWS","2018-06-18_5ACross.B","male","5A Cross","Cross","June",169,2018,"05A","Savanna",151,165,196,4,3,4,3,0.75,2,0.6666666667,"Fledge","Uncertain",32,1,0.3333333333,0,0,1104,"late","5A Match",228.3,64,"WOWS",15,0,188,373.833,-1.22134240759849,6.23055,188,33.9
