"","video_id","brooding_count","cleaning_nest","feeding_chicks","visit_count","brooding_sec","poopsearch_sec","visit_sec","video_number","subject","sex","julian_date","habitat","exact_age_chick","peeped_chick_count","nest_id","brood_id","length_usable"
"1","99_SUOR",2,2,4,NA,638.049,159.701,NA,99,"SUOR","female",NA,"CC",1,3,"18C Catfish","18C_Catfish_brd1",94
"2","99_OOSG",1,1,6,4,299.337,57.581,119.922,99,"OOSG","male",NA,"CC",1,3,"18C Catfish","18C_Catfish_brd1",94
"3","94_SGRO",NA,5,9,NA,NA,49.244,NA,94,"SGRO","female",NA,"Savanna",22,2,"A3","A3_brd2",192
"4","94_OYSR",NA,1,7,NA,NA,21.276,NA,94,"OYSR","male",NA,"Savanna",22,2,"A3","A3_brd2",192
"5","93_YSOG",NA,NA,10,NA,NA,NA,NA,93,"YSOG","male",NA,"Savanna",24,2,"N17 REC2","N17REC2_brd1",128
"6","93_GOSY",NA,NA,2,NA,NA,NA,NA,93,"GOSY","female",NA,"Savanna",24,2,"N17 REC2","N17REC2_brd1",128
"7","90_SUGR",1,NA,NA,NA,67.572,NA,NA,90,"SUGR","male",NA,"Savanna",1,1,"RB23","RB23_brd2",128
"8","90_SORO",6,NA,NA,NA,2589.659,NA,NA,90,"SORO","female",NA,"Savanna",1,1,"RB23","RB23_brd2",128
"9","89_SRGG_mate",NA,NA,1,1,NA,NA,34.082,89,"SRGG","female",NA,"Savanna",2,2,"N17 REC3","N17REC3_brd2",55
"10","89_SRGG",2,NA,3,1,684.85,NA,33.433,89,"SRGG","female",NA,"Savanna",2,2,"N17 REC3","N17REC3_brd2",55
"11","88_SGRO",NA,5,38,NA,NA,49.511,NA,88,"SGRO","female",NA,"Savanna",16,2,"A3","A3_brd2",203
"12","88_OYSR",NA,2,5,NA,NA,26.194,NA,88,"OYSR","male",NA,"Savanna",16,2,"A3","A3_brd2",203
"13","86_SRGG_mate",6,NA,4,1,2541.853,NA,51.605,86,"SRGG","female",NA,"Savanna",1,2,"N17 REC3","N17REC3_brd2",182
"14","86_SRGG",5,NA,5,NA,4133.158,NA,NA,86,"SRGG","female",NA,"Savanna",1,2,"N17 REC3","N17REC3_brd2",182
"15","85_YSOG",1,6,11,NA,197.796,126.833,NA,85,"YSOG","male",NA,"Savanna",17,3,"N17 REC2","N17REC2_brd1",178
"16","85_GOSY",NA,NA,35,NA,NA,NA,NA,85,"GOSY","female",NA,"Savanna",17,3,"N17 REC2","N17REC2_brd1",178
"17","82_SUOB",NA,NA,9,NA,NA,NA,NA,82,"SUOB","female",NA,"CC",17,1,"PN17 REC1","REC1_brd1",185
"18","82_RYSG",7,12,11,2,1118.165,174.128,31.727,82,"RYSG","male",NA,"CC",17,1,"PN17 REC1","REC1_brd1",185
"19","81_YSOG",1,5,10,3,85.845,177.991,115.686,81,"YSOG","male",NA,"Savanna",12,3,"N17 REC2","N17REC2_brd1",111
"20","81_GOSY",1,NA,14,12,72.346,NA,169.508,81,"GOSY","female",NA,"Savanna",12,3,"N17 REC2","N17REC2_brd1",111
"21","75_YSOG",2,2,15,7,740.079,29.826,155.163,75,"YSOG","male",NA,"Savanna",6,3,"N17 REC2","N17REC2_brd1",147
"22","75_GOSY",NA,4,22,5,NA,54.902,109.64,75,"GOSY","female",NA,"Savanna",6,3,"N17 REC2","N17REC2_brd1",147
