"video_number","subject","bpk_status"
99,"SUOR","with"
99,"OOSG","after"
138,"SUBU","before"
138,"SYRP","before"
139,"SUBU","before"
139,"SYRP","before"
115,"SUBU","before"
115,"SYRP","before"
146,"SWOP","after"
146,"YOUS","after"
135,"SWOP","after"
135,"YOUS","after"
117,"SUOR","with"
117,NA,NA
141,"SUOR","with"
141,NA,NA
132,"SUOR","with"
132,NA,NA
120,"POPS","before"
120,NA,NA
127,"POPS","after"
127,NA,NA
113,"POPS","after"
113,NA,NA
147,"POPS","after"
147,NA,NA
126,"WOWS","before"
126,"OSOP","before"
130,"WOWS","before"
130,"OSOP","before"
137,"WOWS","before"
137,"OSOP","before"
116,"WOWS","with"
116,"OSOP","with"
118,"WYRS","with"
118,NA,NA
88,"OYSR","with"
88,"SGRO","with"
94,"OYSR","after"
94,"SGRO","after"
70,"BUSY","before"
70,NA,NA
73,"BUSY","before"
73,NA,NA
112,"BUSY","after"
112,"RSUU","after"
75,"GOSY","before"
75,"YSOG","with"
81,"GOSY","before"
81,"YSOG","after"
85,"GOSY","with"
85,"YSOG","after"
93,"GOSY","with"
93,"YSOG","after"
86,"SRGG","with"
86,NA,NA
89,"SRGG","with"
89,NA,NA
106,"SBGO","before"
106,NA,NA
111,"SBGO","after"
111,NA,NA
65,"SURO","before"
65,NA,NA
67,NA,NA
67,NA,NA
68,NA,NA
68,NA,NA
64,"SUOB","after"
64,"RYSG","before"
82,"SUOB","after"
82,"RYSG","after"
69,NA,NA
69,NA,NA
72,"ROSO","before"
72,NA,NA
74,"ROSO","before"
74,NA,NA
121,"SGBY","before"
121,NA,NA
125,"SGBY","with"
125,NA,NA
110,"SGBY","with"
110,NA,NA
90,"SORO","before"
90,NA,NA
100,"SORO","with"
100,NA,NA
144,NA,NA
144,NA,NA
