"","video_number","subject","sex","date","tmax","incubation_rate","usable_length_total"
"1",2,"SGBU","female",2017-05-18,31.7,20.5923282442748,131
"2",2,"SROY","male",2017-05-18,31.7,17.5923969465649,131
"3",32,"RYSG","male",2017-06-13,33.9,22.5082068965517,203
"4",32,"SUOB","female",2017-06-13,33.9,23.5440443349754,203
"5",33,"SUUU","male",2017-06-14,31.7,14.0101622807018,228
"6",33,"YOSO","female",2017-06-14,31.7,5.48727192982456,228
"7",84,"OOSG","male",2017-07-07,32.2,9.27718656716418,134
"8",84,"SUOR","female",2017-07-07,32.2,28.3069776119403,134
"9",87,"SURO","female",2017-07-12,35,11.7728075117371,213
"10",87,"GRGS","male",2017-07-12,35,4.6487558685446,213
"11",92,"OOSG","male",2017-07-14,35.6,11.1915733333333,225
"12",92,"SUOR","female",2017-07-14,35.6,23.1471288888889,225
"13",96,"YYSR","male",2017-07-19,34.4,3.173544,125
"14",96,"YYSR_mate","female",2017-07-19,34.4,1.956344,125
"15",103,"BUSY","male",2017-07-22,36.1,5.86477966101695,236
"16",103,"SRUB","female",2017-07-22,36.1,21.7496355932203,236
"17",122,"BUSY","male",2018-06-08,30.6,18.6214893617021,235
"18",122,"RSUU","female",2018-06-08,30.6,21.2370638297872,235
"19",123,"OSOP","female",2018-06-13,30,33.92385,120
"20",123,"WOWS","male",2018-06-13,30,6.01896666666667,120
"21",131,"SUBR","male",2018-07-02,35.6,14.9849915611814,237
"22",131,"SUBR_mate","female",2018-07-02,35.6,9.99432489451477,237
