Observation.id,Sample_size,Egg_count,Usable_length,Video_number,Letter,Part,Date,Month,Day,Year,TA,Selected,Brood_ID,Clutch_laid,Hatch_date,Priority,Nest_ID,Ref_combo_1,Ref_combo_2,With_bpk?,Bpk_status_1,Bpk_status_2,Bpk_status_3,Bpk_status_4,Start_time,Early_or_late,BORIS_Observer,Summary/Notes
2017-07-07_18C_r4_Catfish_A,Catfish_1,4 eggs,64,84,a,1 of 3,7/7/2017,July,7,2017,18C,Selected,18C_Catfish_brd1,7/6/2017,7/18/2017,Incubating,18C Catfish,SUOR,OOSG,1,SUOR_before,OOSG_with,na,na,943,early,AA,Good video quality
2017-07-07_18C_r4_Catfish_B,Catfish_1,4 eggs,64,84,b,2 of 3,7/7/2017,July,7,2017,18C,Selected,18C_Catfish_brd1,7/6/2017,7/18/2017,Incubating,18C Catfish,SUOR,OOSG,1,SUOR_before,OOSG_with,na,na,1007,early,AA,
2017-07-07_18C_r4_Catfish_C,Catfish_1,4 eggs,6,84,c,3 of 3,7/7/2017,July,7,2017,18C,Selected,18C_Catfish_brd1,7/6/2017,7/18/2017,Incubating,18C Catfish,SUOR,OOSG,1,SUOR_before,OOSG_with,na,na,1111,late,AA,
2017-07-14_18C_r4_Catfish_A,Catfish_1,4 eggs,64,92,a,1 of 4,7/14/2017,July,14,2017,18C,Selected,18C_Catfish_brd1,7/6/2017,7/18/2017,Incubating,18C Catfish,SUOR,OOSG,0,SUOR_before,OOSG_after,na,na,,,AA,
2017-07-14_18C_r4_Catfish_B,Catfish_1,4 eggs,64,92,b,2 of 4,7/14/2017,July,14,2017,18C,Selected,18C_Catfish_brd1,7/6/2017,7/18/2017,Incubating,18C Catfish,SUOR,OOSG,0,SUOR_before,OOSG_after,na,na,,,AA,
2017-07-14_18C_r4_Catfish_C,Catfish_1,4 eggs,64,92,c,3 of 4,7/14/2017,July,14,2017,18C,Selected,18C_Catfish_brd1,7/6/2017,7/18/2017,Incubating,18C Catfish,SUOR,OOSG,0,SUOR_before,OOSG_after,na,na,,,AA,
2017-07-14_18C_r4_Catfish_D,Catfish_1,4 eggs,33,92,d,4 of 4,7/14/2017,July,14,2017,18C,Selected,18C_Catfish_brd1,7/6/2017,7/18/2017,Incubating,18C Catfish,SUOR,OOSG,0,SUOR_before,OOSG_after,na,na,,,AA,
2017-07-19_5B_r4_A1_brd2_A,A1_2,4 eggs,64,96,a,1 of 3,7/19/2017,July,19,2017,05B,Selected,A1_brd2,yes,na,Incubating,A1,YYSR,unbanded,0,na,na,na,na,,,AA,
2017-07-19_5B_r4_A1_brd2_B,A1_2,4 eggs,60,96,b,2 of 3,7/19/2017,July,19,2017,05B,Selected,A1_brd2,yes,na,Incubating,A1,YYSR,unbanded,0,na,na,na,na,,,AA,
2017-07-19_5B_r4_A1_brd2_C,A1_2,4 eggs,1,96,c,3 of 3,7/19/2017,July,19,2017,05B,Selected,A1_brd2,yes,na,Incubating,A1,YYSR,unbanded,0,na,na,na,na,,,AA,
2018-06-13_5ACross_4e_A,Cross_3,4 eggs,64,123,a,1 of 2,6/13/2018,June,13,2018,05A,Selected,Cross,5/31/2018,6/14/2018,Incubating,5A Cross,OSOP,WOWS,0,WOWS_before,OSOP_before,na,na,1030,early,AA,
2018-06-13_5ACross_4e_B,Cross_3,4 eggs,56,123,b,2 of 2,6/13/2018,June,13,2018,05A,Selected,Cross,5/31/2018,6/14/2018,Incubating,5A Cross,OSOP,WOWS,0,WOWS_before,OSOP_before,na,na,1134,late,AA,
2017-07-22_18C_r4_N1718CA2_A,N1718CA2_4,1 or more,64,103,a,1 of 4,7/22/2017,July,22,2017,18C,Selected,N1718CA2_brd2,7/13/2017,na,Incubating,N17 18CA2,SRUB,BUSY,1,BUSY_with,na,na,na,,,AA,
2017-07-22_18C_r4_N1718CA2_B,N1718CA2_4,1 or more,64,103,b,2 of 4,7/22/2017,July,22,2017,18C,Selected,N1718CA2_brd2,7/13/2017,na,Incubating,N17 18CA2,SRUB,BUSY,1,BUSY_with,na,na,na,,,AA,
