STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-03-01,6.4,,,26.1,13.3
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-03-02,2,,,15.6,0
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-03-03,0,,,6.7,-2.8
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-03-04,0,0,0,7.2,-7.2
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-03-05,0,,,5.6,-5
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-03-06,0,,,15,-2.2
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-03-07,0,,,20,10
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-03-08,0,,,19.4,8.3
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-03-09,0,,,22.2,8.9
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-03-10,0,,,12.8,-0.6
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-03-11,1.8,,,6.1,-3.9
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-03-12,0,,,6.1,-3.3
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-03-13,0,,,7.8,-5.6
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-03-14,14,13,0,6.7,-3.9
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-03-15,0,0,,1.1,-6.7
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-03-16,0,,,6.7,-5.6
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-03-17,0,,,11.7,-5.6
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-03-18,,,,16.1,3.3
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-03-19,,,,10,1.7
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-03-20,24.9,,,13.9,-1.1
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-03-21,0,,,17.2,7.2
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-03-22,0,,,11.7,2.2
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-03-23,0,,,10,-4.4
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-03-24,0,,,18.9,0
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-03-25,0,,,26.7,14.4
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-03-26,0,,,17.8,8.3
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-03-27,0.5,,,26.1,8.9
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-03-28,0,,,22.8,15.6
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-03-29,3.8,,,18.9,11.1
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-03-30,0,,,13.3,5.6
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-03-31,3.8,,,12.8,7.8
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-04-01,,,,17.2,6.7
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-04-02,,,,18.3,3.3
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-04-03,16.3,,,19.4,7.2
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-04-04,0.8,,,27.2,15.6
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-04-05,0,,,25,9.4
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-04-06,4.8,,,18.3,9.4
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-04-07,33.8,,,10.6,2.2
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-04-08,0,,,18.9,-2.2
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-04-09,0,,,22.8,1.7
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-04-10,0,,,27.8,10
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-04-11,0,,,30,14.4
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-04-12,0,,,26.1,12.8
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-04-13,0,,,22.2,10.6
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-04-14,0,,,22.2,8.3
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-04-15,0,,,27.8,8.9
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-04-16,0,,,30,18.3
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-04-17,0,,,23.9,11.7
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-04-18,0,,,21.7,10.6
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-04-19,0.5,,,17.2,7.2
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-04-20,0,,,28.9,13.3
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-04-21,1.5,,,29.4,16.1
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-04-22,0,,,18.3,10
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-04-23,0,,,14.4,8.9
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-04-24,13.2,,,11.7,8.9
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-04-25,,,,15.6,11.7
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-04-26,,,,23.9,13.3
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-04-27,,,,29.4,12.2
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-04-28,22.9,,,29.4,17.2
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-04-29,0,,,31.7,20.6
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-04-30,0,,,30,21.7
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-05-01,0,,,28.3,21.1
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-05-02,0,,,25,12.8
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-05-03,0,,,19.4,8.9
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-05-04,37.6,,,19.4,6.1
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-05-05,63.2,,,23.9,14.4
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-05-06,0,,,15.6,7.8
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-05-07,0,,,18.3,6.7
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-05-08,0,,,17.8,5
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-05-09,0,,,19.4,2.2
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-05-10,0,,,23.9,5
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-05-11,29.2,,,14.4,10
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-05-12,17.8,,,12.2,8.9
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-05-13,7.6,,,16.1,7.8
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-05-14,0,,,27.8,5.6
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-05-15,0,,,24.4,8.3
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-05-16,0,,,27.8,8.3
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-05-17,0,,,34.4,15
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-05-18,0,,,31.7,21.1
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-05-19,43.2,,,32.2,18.3
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-05-20,0,,,23.3,15.6
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-05-21,0,,,20,11.7
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-05-22,9.7,,,21.1,14.4
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-05-23,2.5,,,18.9,13.9
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-05-24,7.6,,,17.2,12.8
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-05-25,18.3,,,22.8,13.9
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-05-26,5.3,,,25.6,12.8
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-05-27,0,,,26.7,12.2
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-05-28,,,,22.8,15
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-05-29,,,,28.3,18.3
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-05-30,2.5,,,25.6,17.2
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-05-31,30.2,,,27.2,15.6
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-06-01,0,,,28.3,13.3
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-06-02,0,,,27.2,12.2
USC00442009,"CORBIN, VA US",38.2022,-77.3747,67.1,2017-06-03,0,,,28.9,11.7
