Observation.id,Subject,Behavior,Behavior_type,Start_sec,Stop_sec,Duration_sec
2017-05-18_SROY_5B_r4_PN1_A,SGBU,head in,POINT,906.506,906.506,NA
2017-05-18_SROY_5B_r4_PN1_A,SGBU,head in,POINT,2615.714,2615.714,NA
2017-05-18_SROY_5B_r4_PN1_A,SGBU,head out,POINT,912.313,912.313,NA
2017-05-18_SROY_5B_r4_PN1_A,SGBU,head out,POINT,916.617,916.617,NA
2017-05-18_SROY_5B_r4_PN1_A,SGBU,head out,POINT,918.419,918.419,NA
2017-05-18_SROY_5B_r4_PN1_A,SGBU,head out,POINT,925.326,925.326,NA
2017-05-18_SROY_5B_r4_PN1_A,SGBU,head out,POINT,1358.058,1358.058,NA
2017-05-18_SROY_5B_r4_PN1_A,SGBU,head out,POINT,1365.566,1365.566,NA
2017-05-18_SROY_5B_r4_PN1_A,SGBU,head out,POINT,2976.675,2976.675,NA
2017-05-18_SROY_5B_r4_PN1_A,SGBU,head out,POINT,2984.082,2984.082,NA
2017-05-18_SROY_5B_r4_PN1_A,SGBU,head out,POINT,3010.409,3010.409,NA
2017-05-18_SROY_5B_r4_PN1_A,SGBU,head out,POINT,3026.024,3026.024,NA
2017-05-18_SROY_5B_r4_PN1_A,SGBU,head out,POINT,3041.139,3041.139,NA
2017-05-18_SROY_5B_r4_PN1_A,SGBU,stat,STATE,901.402,907.207,5.805
2017-05-18_SROY_5B_r4_PN1_A,SGBU,stat,STATE,1374.775,1377.878,3.103
2017-05-18_SROY_5B_r4_PN1_A,SGBU,stat,STATE,2602.901,2616.313,13.412
2017-05-18_SROY_5B_r4_PN1_A,SGBU,stat,STATE,3057.056,3087.886,30.83
2017-05-18_SROY_5B_r4_PN1_A,SGBU,in cavity,STATE,907.208,1374.774,467.566
2017-05-18_SROY_5B_r4_PN1_A,SGBU,in cavity,STATE,2616.314,3057.055,440.741
2017-05-18_SROY_5B_r4_PN1_A,SROY,head out,POINT,386.787,386.787,NA
2017-05-18_SROY_5B_r4_PN1_A,SROY,head out,POINT,2338.938,2338.938,NA
2017-05-18_SROY_5B_r4_PN1_A,SROY,head out,POINT,2351.451,2351.451,NA
2017-05-18_SROY_5B_r4_PN1_A,SROY,stat,STATE,388.09,403.304,15.214
2017-05-18_SROY_5B_r4_PN1_A,SROY,stat,STATE,1669.668,1671.77,2.102
2017-05-18_SROY_5B_r4_PN1_A,SROY,stat,STATE,2352.954,2519.618,166.664
2017-05-18_SROY_5B_r4_PN1_A,SROY,stat,STATE,3342.04,3342.94,0.9
2017-05-18_SROY_5B_r4_PN1_A,SROY,stat,STATE,3504.101,3548.546,44.445
2017-05-18_SROY_5B_r4_PN1_A,SROY,stat,STATE,3592.49,3595.091,2.601
2017-05-18_SROY_5B_r4_PN1_A,SROY,preening,STATE,2397.396,2400.399,3.003
2017-05-18_SROY_5B_r4_PN1_A,SROY,preening,STATE,2405.604,2406.805,1.201
2017-05-18_SROY_5B_r4_PN1_A,SROY,preening,STATE,2408.907,2412.711,3.804
2017-05-18_SROY_5B_r4_PN1_A,SROY,preening,STATE,2416.615,2420.419,3.804
2017-05-18_SROY_5B_r4_PN1_A,SROY,preening,STATE,2423.722,2426.325,2.603
2017-05-18_SROY_5B_r4_PN1_A,SROY,preening,STATE,2432.231,2438.837,6.606
2017-05-18_SROY_5B_r4_PN1_A,SROY,preening,STATE,2440.139,2456.455,16.316
2017-05-18_SROY_5B_r4_PN1_A,SROY,preening,STATE,2458.557,2460.058,1.501
2017-05-18_SROY_5B_r4_PN1_A,SROY,preening,STATE,2465.164,2471.069,5.905
2017-05-18_SROY_5B_r4_PN1_A,SROY,preening,STATE,2472.671,2479.778,7.107
2017-05-18_SROY_5B_r4_PN1_A,SROY,preening,STATE,2485.684,2493.892,8.208
2017-05-18_SROY_5B_r4_PN1_A,SROY,preening,STATE,2494.893,2501.6,6.707
2017-05-18_SROY_5B_r4_PN1_A,SROY,preening,STATE,2503.402,2510.309,6.907
2017-05-18_SROY_5B_r4_PN1_A,SROY,preening,STATE,2511.31,2513.612,2.302
2017-05-18_SROY_5B_r4_PN1_A,SROY,preening,STATE,2514.913,2515.614,0.701
2017-05-18_SROY_5B_r4_PN1_A,SROY,cleaning nest,POINT,386.787,386.787,NA
2017-05-18_SROY_5B_r4_PN1_A,SROY,in cavity,STATE,0,388.089,388.089
2017-05-18_SROY_5B_r4_PN1_A,SROY,in cavity,STATE,1671.771,2352.953,681.182
2017-05-18_SROY_5B_r4_PN1_A,SROY,in cavity,STATE,3342.941,3503.701,160.76
2017-05-18_SROY_5B_r4_PN1_A,SROY,in cavity,STATE,3595.092,3870.767,275.675
2017-05-18_SROY_5B_r4_PN1_B,SGBU,head out,POINT,1832.932,1832.932,NA
2017-05-18_SROY_5B_r4_PN1_B,SGBU,head out,POINT,1941.942,1941.942,NA
2017-05-18_SROY_5B_r4_PN1_B,SGBU,head out,POINT,1960.06,1960.06,NA
2017-05-18_SROY_5B_r4_PN1_B,SGBU,head out,POINT,1975.074,1975.074,NA
2017-05-18_SROY_5B_r4_PN1_B,SGBU,head out,POINT,1983.583,1983.583,NA
2017-05-18_SROY_5B_r4_PN1_B,SGBU,head out,POINT,2402.001,2402.001,NA
2017-05-18_SROY_5B_r4_PN1_B,SGBU,head out,POINT,2508.608,2508.608,NA
2017-05-18_SROY_5B_r4_PN1_B,SGBU,head out,POINT,2533.633,2533.633,NA
2017-05-18_SROY_5B_r4_PN1_B,SGBU,head out,POINT,3183.083,3183.083,NA
2017-05-18_SROY_5B_r4_PN1_B,SGBU,head out,POINT,3242.84,3242.84,NA
2017-05-18_SROY_5B_r4_PN1_B,SGBU,stat,STATE,1452.552,1454.052,1.5
2017-05-18_SROY_5B_r4_PN1_B,SGBU,stat,STATE,3243.342,3264.862,21.52
2017-05-18_SROY_5B_r4_PN1_B,SGBU,stretch,POINT,3244.642,3244.642,NA
2017-05-18_SROY_5B_r4_PN1_B,SGBU,in cavity,STATE,1454.053,3243.341,1789.288
2017-05-18_SROY_5B_r4_PN1_B,SROY,head in,POINT,3564.562,3564.562,NA
2017-05-18_SROY_5B_r4_PN1_B,SROY,stat,STATE,245.847,464.765,218.918
2017-05-18_SROY_5B_r4_PN1_B,SROY,stat,STATE,835.236,839.338,4.102
2017-05-18_SROY_5B_r4_PN1_B,SROY,stat,STATE,1281.481,1442.642,161.161
2017-05-18_SROY_5B_r4_PN1_B,SROY,stat,STATE,3562.56,3566.163,3.603
2017-05-18_SROY_5B_r4_PN1_B,SROY,preening,STATE,256.257,258.359,2.102
2017-05-18_SROY_5B_r4_PN1_B,SROY,preening,STATE,259.861,262.663,2.802
2017-05-18_SROY_5B_r4_PN1_B,SROY,preening,STATE,264.265,266.267,2.002
2017-05-18_SROY_5B_r4_PN1_B,SROY,preening,STATE,268.069,269.37,1.301
2017-05-18_SROY_5B_r4_PN1_B,SROY,preening,STATE,281.082,283.484,2.402
2017-05-18_SROY_5B_r4_PN1_B,SROY,preening,STATE,285.987,287.488,1.501
2017-05-18_SROY_5B_r4_PN1_B,SROY,preening,STATE,288.289,289.59,1.301
2017-05-18_SROY_5B_r4_PN1_B,SROY,preening,STATE,1289.189,1289.99,0.801
2017-05-18_SROY_5B_r4_PN1_B,SROY,preening,STATE,1291.191,1291.992,0.801
2017-05-18_SROY_5B_r4_PN1_B,SROY,preening,STATE,1294.594,1296.897,2.303
2017-05-18_SROY_5B_r4_PN1_B,SROY,preening,STATE,1298.899,1299.9,1.001
2017-05-18_SROY_5B_r4_PN1_B,SROY,preening,STATE,1306.806,1308.608,1.802
2017-05-18_SROY_5B_r4_PN1_B,SROY,preening,STATE,1316.616,1317.117,0.501
2017-05-18_SROY_5B_r4_PN1_B,SROY,preening,STATE,1319.119,1319.619,0.5
2017-05-18_SROY_5B_r4_PN1_B,SROY,preening,STATE,1321.922,1322.722,0.8
2017-05-18_SROY_5B_r4_PN1_B,SROY,preening,STATE,1326.026,1327.127,1.101
2017-05-18_SROY_5B_r4_PN1_B,SROY,preening,STATE,1328.328,1329.129,0.801
2017-05-18_SROY_5B_r4_PN1_B,SROY,preening,STATE,1343.743,1345.545,1.802
2017-05-18_SROY_5B_r4_PN1_B,SROY,stretch,POINT,249.05,249.05,NA
2017-05-18_SROY_5B_r4_PN1_B,SROY,stretch,POINT,250.651,250.651,NA
2017-05-18_SROY_5B_r4_PN1_B,SROY,stretch,POINT,333.135,333.135,NA
2017-05-18_SROY_5B_r4_PN1_B,SROY,drumming,POINT,1427.126,1427.126,NA
2017-05-18_SROY_5B_r4_PN1_B,SROY,drumming,POINT,1429.428,1429.428,NA
2017-05-18_SROY_5B_r4_PN1_B,SROY,drumming,POINT,1430.73,1430.73,NA
2017-05-18_SROY_5B_r4_PN1_B,SROY,in cavity,STATE,0,245.846,245.846
2017-05-18_SROY_5B_r4_PN1_B,SROY,in cavity,STATE,839.339,1280.48,441.141
2017-05-18_SROY_5B_r4_PN1_B,SROY,in cavity,STATE,3566.564,3839.235,272.671
2017-05-18_SROY_5B_r4_PN1_C,SROY,head out,POINT,68.571,68.571,NA
2017-05-18_SROY_5B_r4_PN1_C,SROY,stat,STATE,69.671,173.574,103.903
2017-05-18_SROY_5B_r4_PN1_C,SROY,preening,STATE,80.181,83.985,3.804
2017-05-18_SROY_5B_r4_PN1_C,SROY,preening,STATE,85.386,87.888,2.502
2017-05-18_SROY_5B_r4_PN1_C,SROY,preening,STATE,88.989,91.492,2.503
2017-05-18_SROY_5B_r4_PN1_C,SROY,preening,STATE,92.793,95.896,3.103
2017-05-18_SROY_5B_r4_PN1_C,SROY,preening,STATE,96.897,97.699,0.802
2017-05-18_SROY_5B_r4_PN1_C,SROY,preening,STATE,99.5,106.407,6.907
2017-05-18_SROY_5B_r4_PN1_C,SROY,preening,STATE,111.011,114.014,3.003
2017-05-18_SROY_5B_r4_PN1_C,SROY,preening,STATE,115.816,117.418,1.602
2017-05-18_SROY_5B_r4_PN1_C,SROY,preening,STATE,118.419,120.221,1.802
2017-05-18_SROY_5B_r4_PN1_C,SROY,in cavity,STATE,0,69.67,69.67
2017-06-13_REC_r4_PN17REC1_A,No focal subject,start obs,POINT,112.215,112.215,NA
2017-06-13_REC_r4_PN17REC1_A,RYSG,head out,POINT,2283.684,2283.684,NA
2017-06-13_REC_r4_PN17REC1_A,RYSG,head out,POINT,2361.861,2361.861,NA
2017-06-13_REC_r4_PN17REC1_A,RYSG,stat,STATE,0,7.309,7.309
2017-06-13_REC_r4_PN17REC1_A,RYSG,stat,STATE,587.989,595.795,7.806
2017-06-13_REC_r4_PN17REC1_A,RYSG,in cavity,STATE,595.796,2368.167,1772.371
2017-06-13_REC_r4_PN17REC1_A,SUOB,head in,POINT,2411.01,2411.01,NA
2017-06-13_REC_r4_PN17REC1_A,SUOB,head out,POINT,3059.157,3059.157,NA
2017-06-13_REC_r4_PN17REC1_A,SUOB,stat,STATE,2389.488,2411.509,22.021
2017-06-13_REC_r4_PN17REC1_A,SUOB,stat,STATE,3121.82,3124.421,2.601
2017-06-13_REC_r4_PN17REC1_A,SUOB,in cavity,STATE,2411.51,3121.819,710.309
2017-06-13_REC_r4_PN17REC1_A,SUOB,in cavity,STATE,3124.422,3866.563,742.141
2017-06-13_REC_r4_PN17REC1_B,RYSG,head in,POINT,3640.607,3640.607,NA
2017-06-13_REC_r4_PN17REC1_B,RYSG,head in,POINT,3837.103,3837.103,NA
2017-06-13_REC_r4_PN17REC1_B,RYSG,head out,POINT,2068.538,2068.538,NA
2017-06-13_REC_r4_PN17REC1_B,RYSG,stat,STATE,1604.072,1615.883,11.811
2017-06-13_REC_r4_PN17REC1_B,RYSG,stat,STATE,2070.54,2092.361,21.821
2017-06-13_REC_r4_PN17REC1_B,RYSG,stat,STATE,3639.906,3655.422,15.516
2017-06-13_REC_r4_PN17REC1_B,RYSG,stat,STATE,3834.301,3838.404,4.103
2017-06-13_REC_r4_PN17REC1_B,RYSG,in cavity,STATE,1615.884,2070.539,454.655
2017-06-13_REC_r4_PN17REC1_B,RYSG,in cavity,STATE,3838.405,3867.633,29.228
2017-06-13_REC_r4_PN17REC1_B,SUOB,head in,POINT,2282.35,2282.35,NA
2017-06-13_REC_r4_PN17REC1_B,SUOB,head out,POINT,208.679,208.679,NA
2017-06-13_REC_r4_PN17REC1_B,SUOB,head out,POINT,1477.447,1477.447,NA
2017-06-13_REC_r4_PN17REC1_B,SUOB,stat,STATE,252.524,254.924,2.4
2017-06-13_REC_r4_PN17REC1_B,SUOB,stat,STATE,1539.509,1559.728,20.219
2017-06-13_REC_r4_PN17REC1_B,SUOB,stat,STATE,2271.84,2285.553,13.713
2017-06-13_REC_r4_PN17REC1_B,SUOB,preening,STATE,1542.411,1544.112,1.701
2017-06-13_REC_r4_PN17REC1_B,SUOB,preening,STATE,1549.218,1551.32,2.102
2017-06-13_REC_r4_PN17REC1_B,SUOB,preening,STATE,1555.924,1556.625,0.701
2017-06-13_REC_r4_PN17REC1_B,SUOB,in cavity,STATE,0,252.523,252.523
