"","vID","Observation.id","Sample","Observation_id","Sex","Nest_ID","Brood_ID","Month","Julian_date","Year","TA","Habitat","First_egg_Julian","Hatch_Julian","Fledge_Julian","Exact_age_chick","Peeped_chick_count","Max_number_eggs","Max_number_chicks","Proportion_hatched","Chicks_fledged","Proportion_fledged","Nest_fate","Nest_fate_certainty","Oldest_nestling","Number_chick_mortalities","Percent_chick_mortalities","Chicks_visible.","With_bpk.","Start_time","Early_or_late","Nearest_neighbor","Distance_nearest_neighbor_m","Length_usable","Video_number","Subject","feeding","cleaning","Length_total","brooding_sec","Std_jdate","brooding_min"
"1","100.SORO","2017-07-20_5B_r5_RB23_D","2017-07-20_5B_r5_RB23_D.SORO","2017-07-20_5B_r5_RB23.D","female","RB23","RB23_brd2","July",201,2017,"05B","Savanna",180,193,218,8,2,3,2,0.6666666667,NA,NA,NA,NA,NA,NA,NA,0,1,1133,"late","RB36 Alt",107.9,37,100,"SORO",9,1,229,745.245,1.08066422452432,12.42075
"2","100.SUGR","2017-07-20_5B_r5_RB23_B","2017-07-20_5B_r5_RB23_B.SUGR","2017-07-20_5B_r5_RB23.B","male","RB23","RB23_brd2","July",201,2017,"05B","Savanna",180,193,218,8,2,3,2,0.6666666667,NA,NA,NA,NA,NA,NA,NA,0,1,925,"early","RB36 Alt",107.9,64,100,"SUGR",17,4,229,372.961,1.08066422452432,6.21601666666667
"3","106.SBGO","2018-06-13_18C4_A","2018-06-13_18C4_A.SBGO","2018-06-13_18C4.A","male","NB 18C4","NB18C4_18_brd1","June",164,2018,"18C","Savanna",135,151,181,13,2,5,3,0.6,2,0.6666666667,"Fledge","Uncertain",28,1,0.3333333333,0,0,1045,"early","N18 18C 3",83.1,64,106,"SBGO",11,1,123,0,-1.58103094386768,0
"4","106.SBGO_mate_18","2018-06-13_18C4_A","2018-06-13_18C4_A.SBGO_mate_18","2018-06-13_18C4.A","female","NB 18C4","NB18C4_18_brd1","June",164,2018,"18C","Savanna",135,151,181,13,2,5,3,0.6,2,0.6666666667,"Fledge","Uncertain",28,1,0.3333333333,0,0,1045,"early","N18 18C 3",83.1,64,106,"SBGO_mate_18",0,0,123,0,-1.58103094386768,0
"5","110.ROSO","2018-06-19_Tonto_C","2018-06-19_Tonto_C.ROSO","2018-06-19_Tonto.C","male","PNB 18CB","Tonto18_brd1","June",170,2018,"18C","CC",135,151,183,19,3,5,3,0.6,3,1,"Fledge","Certain",36,0,0,0,1,938,"early","18C Noisy",194.3,64,110,"ROSO",50,10,243,0,-1.14940470034466,0
"6","110.SGBY","2018-06-19_Tonto_A","2018-06-19_Tonto_A.SGBY","2018-06-19_Tonto.A","female","PNB 18CB","Tonto18_brd1","June",170,2018,"18C","CC",135,151,183,19,3,5,3,0.6,3,1,"Fledge","Certain",36,0,0,0,1,730,"early","18C Noisy",194.3,64,110,"SGBY",49,0,243,0,-1.14940470034466,0
"7","111.SBGO","2018-06-21_18C4_A","2018-06-21_18C4_A.SBGO","2018-06-21_18C4.A","male","NB 18C4","NB18C4_18_brd1","June",172,2018,"18C","Savanna",135,151,181,21,2,5,3,0.6,2,0.6666666667,"Fledge","Uncertain",28,1,0.3333333333,0,0,930,"early","N18 18C 3",83.1,63,111,"SBGO",31,1,208,0,-1.00552928583698,0
"8","111.SBGO_mate_18","2018-06-21_18C4_A","2018-06-21_18C4_A.SBGO_mate_18","2018-06-21_18C4.A","female","NB 18C4","NB18C4_18_brd1","June",172,2018,"18C","Savanna",135,151,181,21,2,5,3,0.6,2,0.6666666667,"Fledge","Uncertain",28,1,0.3333333333,0,0,930,"early","N18 18C 3",83.1,63,111,"SBGO_mate_18",0,0,208,0,-1.00552928583698,0
"9","112.BUSY","2018-06-28_18CA2_A","2018-06-28_18CA2_A.BUSY","2018-06-28_18CA2.A","male","N17 18CA2","N1718CA2_18","June",179,2018,"18C","Savanna",NA,164,NA,15,1,5,2,0.4,1,0.5,"Fledge","Uncertain",28,1,0.5,0,0,1145,"late","18C Gum",83.5,64,112,"BUSY",15,5,210,1397.492,-0.501965335060114,23.2915333333333
"10","112.RSUU","2018-06-28_18CA2_D","2018-06-28_18CA2_D.RSUU","2018-06-28_18CA2.D","female","N17 18CA2","N1718CA2_18","June",179,2018,"18C","Savanna",NA,164,NA,15,1,5,2,0.4,1,0.5,"Fledge","Uncertain",28,1,0.5,0,0,1458,"late","18C Gum",83.5,17,112,"RSUU",21,0,210,0,-0.501965335060114,0
